Id,Expected
train_0,vault
train_1,flying_buttress
train_2,stained_glass
train_3,vault
train_4,vault
train_5,dome_outer
train_6,dome_inner
train_7,bell_tower
train_8,column
train_9,column
train_10,stained_glass
train_11,gargoyle
train_12,apse
train_13,dome_inner
train_14,dome_outer
train_15,gargoyle
train_16,stained_glass
train_17,gargoyle
train_18,bell_tower
train_19,vault
train_20,gargoyle
train_21,dome_outer
train_22,dome_outer
train_23,stained_glass
train_24,dome_outer
train_25,dome_outer
train_26,stained_glass
train_27,vault
train_28,stained_glass
train_29,dome_inner
train_30,altar
train_31,dome_outer
train_32,column
train_33,bell_tower
train_34,gargoyle
train_35,column
train_36,column
train_37,bell_tower
train_38,dome_outer
train_39,column
train_40,dome_outer
train_41,column
train_42,vault
train_43,altar
train_44,gargoyle
train_45,bell_tower
train_46,dome_outer
train_47,column
train_48,vault
train_49,altar
train_50,stained_glass
train_51,flying_buttress
train_52,dome_outer
train_53,altar
train_54,dome_inner
train_55,vault
train_56,dome_outer
train_57,vault
train_58,dome_outer
train_59,column
train_60,flying_buttress
train_61,gargoyle
train_62,gargoyle
train_63,vault
train_64,bell_tower
train_65,stained_glass
train_66,gargoyle
train_67,gargoyle
train_68,apse
train_69,stained_glass
train_70,vault
train_71,column
train_72,gargoyle
train_73,vault
train_74,dome_inner
train_75,altar
train_76,column
train_77,altar
train_78,column
train_79,column
train_80,gargoyle
train_81,column
train_82,gargoyle
train_83,dome_inner
train_84,dome_outer
train_85,stained_glass
train_86,gargoyle
train_87,dome_outer
train_88,stained_glass
train_89,bell_tower
train_90,column
train_91,altar
train_92,column
train_93,stained_glass
train_94,stained_glass
train_95,gargoyle
train_96,column
train_97,dome_outer
train_98,vault
train_99,column
train_100,column
train_101,vault
train_102,dome_outer
train_103,altar
train_104,gargoyle
train_105,apse
train_106,column
train_107,gargoyle
train_108,dome_inner
train_109,dome_outer
train_110,dome_outer
train_111,vault
train_112,column
train_113,vault
train_114,apse
train_115,stained_glass
train_116,column
train_117,column
train_118,column
train_119,gargoyle
train_120,altar
train_121,gargoyle
train_122,stained_glass
train_123,vault
train_124,vault
train_125,stained_glass
train_126,column
train_127,vault
train_128,altar
train_129,gargoyle
train_130,bell_tower
train_131,gargoyle
train_132,stained_glass
train_133,column
train_134,stained_glass
train_135,stained_glass
train_136,dome_inner
train_137,gargoyle
train_138,column
train_139,dome_outer
train_140,altar
train_141,column
train_142,column
train_143,stained_glass
train_144,column
train_145,column
train_146,dome_outer
train_147,stained_glass
train_148,vault
train_149,bell_tower
train_150,altar
train_151,dome_outer
train_152,stained_glass
train_153,vault
train_154,column
train_155,column
train_156,apse
train_157,gargoyle
train_158,dome_inner
train_159,column
train_160,altar
train_161,dome_outer
train_162,stained_glass
train_163,column
train_164,column
train_165,column
train_166,dome_inner
train_167,vault
train_168,dome_outer
train_169,stained_glass
train_170,bell_tower
train_171,dome_outer
train_172,stained_glass
train_173,gargoyle
train_174,gargoyle
train_175,stained_glass
train_176,dome_outer
train_177,gargoyle
train_178,altar
train_179,altar
train_180,apse
train_181,dome_outer
train_182,dome_outer
train_183,stained_glass
train_184,column
train_185,stained_glass
train_186,gargoyle
train_187,flying_buttress
train_188,column
train_189,column
train_190,apse
train_191,apse
train_192,stained_glass
train_193,dome_outer
train_194,gargoyle
train_195,dome_outer
train_196,dome_outer
train_197,gargoyle
train_198,gargoyle
train_199,stained_glass
train_200,apse
train_201,column
train_202,gargoyle
train_203,column
train_204,column
train_205,bell_tower
train_206,column
train_207,gargoyle
train_208,column
train_209,dome_inner
train_210,column
train_211,gargoyle
train_212,stained_glass
train_213,stained_glass
train_214,stained_glass
train_215,vault
train_216,gargoyle
train_217,dome_outer
train_218,vault
train_219,altar
train_220,dome_outer
train_221,gargoyle
train_222,column
train_223,column
train_224,altar
train_225,column
train_226,gargoyle
train_227,column
train_228,gargoyle
train_229,gargoyle
train_230,gargoyle
train_231,bell_tower
train_232,gargoyle
train_233,dome_outer
train_234,vault
train_235,dome_outer
train_236,apse
train_237,bell_tower
train_238,bell_tower
train_239,column
train_240,gargoyle
train_241,column
train_242,column
train_243,dome_outer
train_244,gargoyle
train_245,dome_outer
train_246,vault
train_247,vault
train_248,altar
train_249,dome_outer
train_250,gargoyle
train_251,gargoyle
train_252,apse
train_253,stained_glass
train_254,stained_glass
train_255,gargoyle
train_256,bell_tower
train_257,stained_glass
train_258,gargoyle
train_259,flying_buttress
train_260,dome_outer
train_261,column
train_262,column
train_263,bell_tower
train_264,gargoyle
train_265,dome_inner
train_266,vault
train_267,gargoyle
train_268,gargoyle
train_269,altar
train_270,column
train_271,flying_buttress
train_272,dome_inner
train_273,stained_glass
train_274,vault
train_275,stained_glass
train_276,dome_outer
train_277,dome_outer
train_278,dome_outer
train_279,vault
train_280,flying_buttress
train_281,stained_glass
train_282,dome_inner
train_283,column
train_284,dome_outer
train_285,stained_glass
train_286,dome_outer
train_287,apse
train_288,dome_inner
train_289,column
train_290,dome_inner
train_291,gargoyle
train_292,gargoyle
train_293,dome_inner
train_294,gargoyle
train_295,dome_outer
train_296,gargoyle
train_297,column
train_298,apse
train_299,vault
train_300,gargoyle
train_301,gargoyle
train_302,vault
train_303,gargoyle
train_304,vault
train_305,bell_tower
train_306,gargoyle
train_307,gargoyle
train_308,dome_outer
train_309,gargoyle
train_310,vault
train_311,column
train_312,vault
train_313,dome_inner
train_314,column
train_315,dome_inner
train_316,apse
train_317,dome_inner
train_318,gargoyle
train_319,flying_buttress
train_320,vault
train_321,gargoyle
train_322,vault
train_323,column
train_324,dome_inner
train_325,dome_outer
train_326,stained_glass
train_327,dome_inner
train_328,dome_outer
train_329,gargoyle
train_330,altar
train_331,column
train_332,gargoyle
train_333,column
train_334,apse
train_335,vault
train_336,gargoyle
train_337,gargoyle
train_338,altar
train_339,stained_glass
train_340,dome_outer
train_341,gargoyle
train_342,gargoyle
train_343,column
train_344,dome_outer
train_345,gargoyle
train_346,column
train_347,vault
train_348,dome_outer
train_349,gargoyle
train_350,column
train_351,vault
train_352,gargoyle
train_353,column
train_354,flying_buttress
train_355,bell_tower
train_356,gargoyle
train_357,gargoyle
train_358,stained_glass
train_359,gargoyle
train_360,bell_tower
train_361,column
train_362,column
train_363,dome_inner
train_364,column
train_365,bell_tower
train_366,altar
train_367,stained_glass
train_368,dome_outer
train_369,column
train_370,altar
train_371,altar
train_372,bell_tower
train_373,column
train_374,dome_outer
train_375,apse
train_376,stained_glass
train_377,stained_glass
train_378,bell_tower
train_379,bell_tower
train_380,dome_outer
train_381,flying_buttress
train_382,gargoyle
train_383,dome_inner
train_384,stained_glass
train_385,stained_glass
train_386,bell_tower
train_387,column
train_388,gargoyle
train_389,gargoyle
train_390,dome_inner
train_391,column
train_392,column
train_393,altar
train_394,apse
train_395,flying_buttress
train_396,column
train_397,dome_inner
train_398,stained_glass
train_399,dome_outer
train_400,dome_outer
train_401,dome_inner
train_402,flying_buttress
train_403,column
train_404,apse
train_405,dome_outer
train_406,bell_tower
train_407,stained_glass
train_408,vault
train_409,column
train_410,dome_outer
train_411,column
train_412,bell_tower
train_413,gargoyle
train_414,vault
train_415,column
train_416,bell_tower
train_417,bell_tower
train_418,column
train_419,column
train_420,gargoyle
train_421,column
train_422,bell_tower
train_423,vault
train_424,bell_tower
train_425,altar
train_426,altar
train_427,vault
train_428,bell_tower
train_429,stained_glass
train_430,bell_tower
train_431,column
train_432,vault
train_433,gargoyle
train_434,gargoyle
train_435,column
train_436,stained_glass
train_437,altar
train_438,bell_tower
train_439,gargoyle
train_440,bell_tower
train_441,altar
train_442,apse
train_443,apse
train_444,column
train_445,stained_glass
train_446,bell_tower
train_447,column
train_448,column
train_449,column
train_450,stained_glass
train_451,column
train_452,vault
train_453,dome_outer
train_454,apse
